,data,precalculated,result
639,2051.0,2049.0,2048.6101364256656
640,2045.0,2055.0,2054.9485624995923
641,2050.0,2061.0,2061.2699035860014
642,2062.0,2068.0,2067.7121865147687
643,2061.0,2074.0,2074.0179436831486
644,2065.0,2080.0,2080.2869438341254
645,2079.0,2087.0,2086.716534475758
646,2081.0,2093.0,2093.0685764430104
647,2102.0,2100.0,2099.718172595996
648,2105.0,2106.0,2106.3075956209245
649,2106.0,2113.0,2112.797900587174
650,2103.0,2119.0,2119.111114551471
651,2123.0,2126.0,2125.70214027094
652,2132.0,2132.0,2132.3514036076454
653,2127.0,2139.0,2138.7823233218487
654,2148.0,2146.0,2145.509314809876
655,2149.0,2152.0,2152.1352487635413
656,2149.0,2159.0,2158.641286117148
657,2161.0,2165.0,2165.264981381056
658,2158.0,2172.0,2171.709479361587
659,2181.0,2179.0,2178.488821775089
660,2176.0,2185.0,2185.047843521592
661,2194.0,2192.0,2191.8418514492705
662,2201.0,2199.0,2198.651674501997
663,2191.0,2205.0,2205.1420120334997
664,2200.0,2212.0,2211.690308532795
665,2208.0,2218.0,2218.2762063029554
666,2222.0,2225.0,2225.0174947273076
667,2220.0,2232.0,2231.5972433458946
668,2241.0,2238.0,2238.4701970084625
669,2229.0,2245.0,2244.9830532956435
670,2246.0,2252.0,2251.7107293042154
671,2257.0,2259.0,2258.5328021632445
672,2261.0,2265.0,2265.3102958374443
673,2273.0,2272.0,2272.2011966466557
674,2271.0,2279.0,2278.9283866257956
675,2275.0,2286.0,2285.6115945300016
676,2290.0,2292.0,2292.467936581486
677,2293.0,2299.0,2299.2591397104457
678,2289.0,2306.0,2305.8477777513503
679,2310.0,2313.0,2312.7284183326105
680,2317.0,2320.0,2319.6222254596346
681,2312.0,2326.0,2326.2924709479908
682,2322.0,2333.0,2333.0368434534844
683,2335.0,2340.0,2339.913658124981
684,2330.0,2347.0,2346.5667932459937
685,2341.0,2353.0,2353.3136509603105
686,2360.0,2360.0,2360.3108981736546
687,2362.0,2367.0,2367.22097235742
688,2375.0,2374.0,2374.261396186675
689,2376.0,2381.0,2381.194302619482
690,2376.0,2388.0,2388.000918332552
691,2377.0,2395.0,2394.7020803728765
692,2389.0,2402.0,2401.5155130907806
693,2396.0,2408.0,2408.341504447638
694,2409.0,2415.0,2415.2980898085407
695,2419.0,2422.0,2422.324783051535
696,2424.0,2429.0,2429.3222607370476
697,2424.0,2436.0,2436.192162593638
698,2435.0,2443.0,2443.1524155900233
699,2435.0,2450.0,2449.985264046477
700,2457.0,2457.0,2457.125423918602
701,2457.0,2464.0,2464.136243029941
702,2469.0,2471.0,2471.255362988855
703,2480.0,2478.0,2478.4619200819325
704,2474.0,2485.0,2485.41992063816
705,2490.0,2493.0,2492.5652435812094
706,2482.0,2499.0,2499.422984569833
707,2492.0,2506.0,2506.3505805561526
708,2505.0,2513.0,2513.4063942920784
709,2511.0,2520.0,2520.4511354701854
710,2516.0,2527.0,2527.4651075105226
711,2533.0,2535.0,2534.6850088381734
712,2539.0,2542.0,2541.891954039602
713,2538.0,2549.0,2548.94800494603
714,2544.0,2556.0,2555.992480250181
715,2562.0,2563.0,2563.2618940835
716,2567.0,2571.0,2570.497760923354
717,2579.0,2578.0,2577.8382512004214
718,2585.0,2585.0,2585.1639906933906
719,2578.0,2592.0,2592.2188063004874
720,2593.0,2599.0,2599.438798890047
721,2606.0,2607.0,2606.7828557117246
722,2607.0,2614.0,2614.013171972947
723,2613.0,2621.0,2621.2292840258597
724,2618.0,2628.0,2628.411522766996
725,2634.0,2636.0,2635.7769066851943
726,2635.0,2643.0,2643.0279389483835
727,2651.0,2650.0,2650.461241552379
728,2652.0,2658.0,2657.7793213765904
729,2661.0,2665.0,2665.140849858558
730,2660.0,2672.0,2672.3482227556105
731,2664.0,2680.0,2679.501377338811
