,data,precalculated,result,Diff
341,576.707,584.159,584.1593473,0.000347267
342,587.047,587.641,587.6405574,0.000442622
343,590.014,591.122,591.1222709,0.000270898
344,594.418,594.632,594.6325085,0.000508539
345,601.54,598.224,598.2241147,0.000114736
346,591.999,601.57,601.5699127,8.72992E-05
347,592.436,604.867,604.8675146,0.000514602
348,606.362,608.381,608.3814974,0.000497377
349,603.582,611.782,611.7824778,0.000477818
350,612.524,615.301,615.3010714,7.1387E-05
351,609.893,618.709,618.7093143,0.00031435
352,611.995,622.101,622.1008929,0.000107064
353,622.116,625.633,625.6330358,3.58076E-05
354,618.328,629.032,629.0316996,0.000300424
355,636.111,632.721,632.7209013,9.86559E-05
356,630.15,636.232,636.2323039,0.000303875
357,629.67,639.675,639.674938,6.19737E-05
358,631.731,643.099,643.0991846,0.000184603
359,646.799,646.76,646.7602176,0.000217613
360,641.018,650.247,650.2467871,0.000212875
361,649.519,653.841,653.8405858,0.000414244
362,665.178,657.681,657.6809326,6.74189E-05
363,657.164,661.301,661.300937,6.30398E-05
364,663.66,664.987,664.9872711,0.00027109
365,673.173,668.798,668.7984103,0.000410276
366,678.726,672.655,672.6553486,0.000348637
367,679.399,676.462,676.4617529,0.000247099
368,673.508,680.089,680.0891358,0.000135815
369,677.887,683.741,683.7406911,0.000308866
370,677.551,687.324,687.3235258,0.000474174
371,680.192,690.897,690.8966475,0.000352456
372,699.857,694.794,694.7943451,0.000345143
373,704.16,698.712,698.7117689,0.000231147
374,689.442,702.275,702.2750493,4.93325E-05
375,698.23,705.949,705.9491214,0.000121362
376,703.372,709.661,709.6612299,0.000229946
377,713.231,713.504,713.5035818,0.000418239
378,722.311,717.46,717.4595353,0.000464655
379,721.681,721.337,721.3371233,0.000123284
380,713.579,724.99,724.9901581,0.000158112
381,724.581,728.796,728.7960733,7.32937E-05
382,721.684,732.48,732.4801836,0.000183638
383,725.713,736.18,736.1796704,0.000329596
384,746.38,740.221,740.2213129,0.00031289
385,733.435,743.941,743.941077,7.69964E-05
386,748.207,747.887,747.8867608,0.000239223
387,749.983,751.801,751.8006322,0.000367787
388,761.54,755.875,755.8751798,0.000179785
389,748.26,759.62,759.6204358,0.000435811
390,755.14,763.436,763.4358281,0.000171908
391,756.138,767.205,767.2049376,6.24006E-05
392,760.191,770.988,770.9881921,0.000192133
393,768.262,774.864,774.8643877,0.00038771
394,785.857,779.02,779.0198555,0.000144481
395,785.326,783.095,783.0953139,0.000313884
396,782.329,787.043,787.0429038,9.62492E-05
397,780.891,790.894,790.894406,0.000406037
398,791.361,794.885,794.8848923,0.000107707
399,795.676,798.892,798.8918544,0.00014559
400,804.325,803,803.0002973,0.000297297
401,799.344,806.941,806.94098,1.99698E-05
402,807.759,810.979,810.978977,2.29931E-05
403,819.817,815.185,815.1849394,6.05644E-05
404,816.41,819.253,819.2528392,0.000160774
405,820.055,823.323,823.3226583,0.000341749
406,833.782,827.593,827.5926793,0.000320742
407,822.365,831.566,831.5660397,3.9673E-05
408,840.186,835.821,835.8209031,9.69095E-05
409,840.196,840.004,840.0039172,8.27799E-05
410,848.279,844.275,844.2745531,0.00044689
411,837.432,848.259,848.2592548,0.000254769
412,846.122,852.345,852.3452288,0.000228788
413,855.192,856.539,856.538891,0.000108951
414,847.714,860.513,860.5133525,0.000352547
